;fiscal_yr;service_id;service_name_en;service_name_fr;service_standard_id;service_standard_en;service_standard_fr;type;gcss_tool_fiscal_yr;channel;channel_comments_en;channel_comments_fr;target_type;target;volume_meeting_target;total_volume;performance;comments_en;comments_fr;target_met;standards_targets_uri_en;standards_targets_uri_fr;performance_results_uri_en;performance_results_uri_fr;org_name_variant;org_id;department_en;department_fr;fy_org_id_service_id
11233;2023-2024;SRV03126;Mission Readiness & Security Operations;Préparation des Missions et Opérations de Sécurité;8384;Mission Secuity White Paper/Issues Analysis;Livre blanc/Analyse des enjeux de la sécurité de mission;TML;;OTH;;;;1.0;1.0;1.0;1.0;;;Y;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03126
11234;2023-2024;SRV03126;Mission Readiness & Security Operations;Préparation des Missions et Opérations de Sécurité;8385;Mission Security Advice (GAC HQ stakeholders);Conseils en matière de sécurité de mission (intervenants du siège social d’AMC);TML;;OTH;;;;1.0;;;;Tool to track volumes in development.;Outil de suivi des volumes en cours de développement.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03126
11235;2023-2024;SRV03126;Mission Readiness & Security Operations;Préparation des Missions et Opérations de Sécurité;8386;Mission Secuity Feedback (CCTV, Floorplan, etc.);Retour d'information sur la sécurité de mission (CCTV, plan d'étage, etc.;TML;;OTH;;;;;12.0;12.0;1.0;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03126
11236;2023-2024;SRV03151;Advice on Women Peace and Security;Conseils sur les femmes, la paix et la sécurité;8387;Not applicable: The nature of this service is based on engagement with skateholder. We provide recommendations on requests for engagement by stakeholders based on an established set of criteria.;Sans objet : La nature de ce service est basée sur l'engagement avec le détenteur de la patinoire. Nous fournissons des recommandations sur les demandes d'engagement des parties prenantes sur la base d'un ensemble de critères établis.;TML;;PERSON;;;;;;207.0;;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03151
11237;2023-2024;SRV03199;Venture Capital Attraction;Attraction du capital de risque;8388;We follow TCS standards for External clients.;Nous suivons les normes du SDC pour les clients externes.;TML;;ONL;;;;0.85;;;;Tool to track volumes in development.;Outil de suivi des volumes en cours de développement.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03199
11238;2023-2024;SRV03263;Promoting and Protecting Democracy Fund (Pro-Dem) and the Inclusion, Diversity and Human Rights Fund (IDHR);Fonds pour la promotion et la protection de la démocratie (Pro-Dem) et Fonds pour l'inclusion, la diversité et les droits de la personne (IDHR);8389;Promoting and Protecting Democracy Fund (Pro-Dem) and the Inclusion, Diversity and Human Rights Fund (IDHR);Fournir aux promoteurs de projets une décision quant à savoir si leur proposition sera financée.;TML;;EML;;;;;;;;Tool to track volumes in development.;Outil de suivi des volumes en cours de développement.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03263
11239;2023-2024;SRV03305;Military and Scientific Overflight Clearance request management;Gestion des demandes d'autorisation de survol militaire et scientifique;8390;100% within the required timelines (upon receipt of a completed applications);100% dans les délais requis (dès réception d'un dossier de candidature complet);ACY;;EML;;;;1.0;;;;Tool to track volumes in development.;Outil de suivi des volumes en cours de développement.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03305
11240;2023-2024;SRV03311;Marine Scientific Research (MSR) request management;Gestion des demandes de recherche scientifique marine;8391;100% within the required timelines (upon receipt of a completed applications);100% dans les délais requis (dès réception d'un dossier de candidature complet);ACY;;EML;;;;1.0;;;;Tool to track volumes in development.;Outil de suivi des volumes en cours de développement.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03311
11241;2023-2024;SRV03365;Foreign military ship visit request management;Visite de navires militaires étrangers;8392;100% within the required timelines (upon receipt of a completed applications) - 60 Calendar days;100% dans les délais requis (dès réception d'un dossier de candidature complet) - 60 jours calendaires;ACS;;EML;;;;1.0;;;;Tool to track volumes in development.;Outil de suivi des volumes en cours de développement.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03365
11242;2023-2024;3586;Media Relations -GAC;Relations avec les médias;8363;"For internal services: ensure mandatory training of all HOMs, senior officials and public affairs staff at missions, as well as spokespersons
For external services: calls closed on time";"Pour les services internes: formation de tous les CdM, cadres et employés en affaires publiques dans les missions, en plus des porte-parole 
Pour les services externes: appels fermés à temps";TML;;PERSON;;;;1.0;4029.0;4029.0;1.0;;;Y;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_3586
11243;2023-2024;SRV03155;Anti-Crime and Counter-Terrorism Capacity Building Programs (AC/CTCBP);Programme d’aide au renforcement des capacités en matière de lute contre la criminalité et le terrorism;8499;Terms and Conditions for the Anti-Crime and Counter-Terrorism Capacity Building Programs;Modalités des programmes de renforcement des capacités en matière de lutte contre la criminalité et le terrorisme;OTH;;EML;;;;;;;;Tool to track volumes in development.;Outil de suivi des volumes en cours de développement.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03155
11244;2023-2024;SRV03156;Application for a certificate - Mistaken identity;Demande d'attestation -  erreur d'identité;8500;SEMA Regulations require that the Minister arrive at a decision on applications for certificates in the case of mistaken identity within 30 days from the date on which the application was received.;Les règlements de la SEMA exigent que le ministre rende une décision sur les demandes de certificats en cas d'erreur d'identité dans les 30 jours à compter de la date de réception de la demande.;TML;;EML;;;;;0.0;0.0;;No application for this fiscal year.;Pas d'application pour cet exercice.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03156
11245;2023-2024;SRV03158;Application to no longer be a designated person;Demande de radiation;8501;Arrive at a decision on a given delisting application within 90 days from the date on which the application was received.;Rende une décision sur une demande de radiation donnée dans les 90 jours suivant la date de réception de la demande.;TML;;EML;;;;;;29.0;;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03158
11246;2023-2024;SRV02870;Client Relations;Relations avec les clients;8502;Requests actionned every month, as per pre-determined calendar.;Demandes traitées chaque mois, selon un calendrier préétabli.;ACY;;ONL;;;;1.0;;;;Tool to track volumes in development.;Outil de suivi des volumes en cours de développement.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV02870
11248;2023-2024;2528;Emergency Watch and Response;Surveillance et d'interventions d'urgence;8503;Monitoring of EM and security events 24/7 / Availability of emergency consular services 24/7;Surveillance d'incidents d'urgence et de sécurité 24/7 / Disponibilité des services consulaires d'urgence 24/7;ACS;;TEL;;;;1.0;;;;Tool to track volumes in development.;Outil de suivi des volumes en cours de développement.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_2528
11251;2023-2024;SRV03370;Global Security Reporting Program (GSRP);Programme des rapports sur la securité mondiale (PRSM);8504;Adhoc/on demand;Ad hoc/sur demande;ACS;;EML;;;;1.0;;;;Tool to track volumes in development.;Outil de suivi des volumes en cours de développement.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03370
11252;2023-2024;SRV02869;International Accommodation Services;Services d'hébergement internationaux;8505;A response on availability is provided to the customer within 5 months.;Une réponse sur la disponibilité est fourni au client dans un délai de 5 mois.;ACY;;EML;;;;0.9;;;;Tool to track volumes in development.;Outil de suivi des volumes en cours de développement.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV02869
11253;2023-2024;2466;International Real Property Services;Services en biens immobiliers internationaux;8506;A response on availability is provided to the customer within 5 months.;Une réponse sur la disponibilité est fourni au client dans un délai de 5 mois.;ACY;;EML;;;;0.9;;;;Tool to track volumes in development.;Outil de suivi des volumes en cours de développement.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_2466
11256;2023-2024;SRV03240;Speechwriting;Rédaction de discours;8507;3 to 5 min /6-10 min speec,  Recorded video speech : Between 5 to 10 business days;"Discours 3-5 min; Discours 6 to 10 min; Discours enregistré sur vidéo; entre 5 à 10 jours ouvrables";ACY;;PERSON;;;;;;;;Tool to track volumes in development.;Outil de suivi des volumes en cours de développement.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03240
11258;2023-2024;SRV03197;Vetting;Vérification;8508;Turn around time is 2 hours. Quality Standard up to 100%;Le temps de retournement est de 2 heures. Norme de qualité jusqu'à 100 %;ACY;;EML;;;;1.0;1026.0;1026.0;1.0;;;Y;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03197
11259;2023-2024;SRV03144;Strategic communications;Communications stratégiques;8758;Comm recommendations memos/TB Sub;Conseils de communication pour mémos et soumission au CT;ACY;;EML;;;;;;;;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03144
11261;2023-2024;SRV03066;Dispute resolution on Canadian business operations abroad;Résolution des litiges concernant les activités des entreprises canadiennes à l'étranger;8759;Acknowledgement of complaint within 10 working days.;Accusé de réception de la plainte dans les 10 jours ouvrables.;TML;;EML;;;;0.8;;;;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03066
11262;2023-2024;SRV03066;Dispute resolution on Canadian business operations abroad;Résolution des litiges concernant les activités des entreprises canadiennes à l'étranger;8760;Complete the intake (decision if com plaint is admissible) within 30 working days.;Compléter l’admission (décision si la plainte est recevable) dans les 30 jours ouvrables.;TML;;EML;;;;0.8;;9.0;;Tool to track volumes in development.;Outil de suivi des volumes en cours de développement.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03066
11263;2023-2024;SRV03066;Dispute resolution on Canadian business operations abroad;Résolution des litiges concernant les activités des entreprises canadiennes à l'étranger;8761;Complete the Initial Assessment within 90 working days.;Terminer l’évaluation initiale dans un délai de 90 jours ouvrables.;TML;;EML;;;;0.8;;2.0;;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03066
11266;2023-2024;SRV03204;Training: Governance, Access, Technical Security and Espionage (GATE);Formation : Gouvernance, accès, sécurité technique et espionnage (GATE);8762;HQ 26+ sessions per year, Mission 2 visits (12 sessions) per year;QG 26+ séances par année, Mission 2 visites (12 séances) par année;ACS;;EML;;;;1.0;;;;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03204
11268;2023-2024;SRV03336;Enterprise Architecture;Architecture d'Entreprise;8763;Strategic Enterprise Architecture Reviews (SEAR) - 2 weeks.;Examen stratégiques de l’architecture d’entreprise (ESAE) - 2 semaines.;TML;;EML;;;;0.8;10.0;10.0;1.0;;;Y;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03336
11269;2023-2024;SRV03336;Enterprise Architecture;Architecture d'Entreprise;8764;Enterprise Architecture review  8 weeks.;Examen de l’architecture d’entreprise 8 semaines;TML;;EML;;;;0.8;12.0;12.0;1.0;;;Y;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03336
11270;2023-2024;SRV03336;Enterprise Architecture;Architecture d'Entreprise;8765;Standards development/review - 3 months;Élaboration et examen des normes - 3 mois;TML;;EML;;;;0.8;1.0;1.0;1.0;;;Y;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03336
11307;2023-2024;3629;Drug Submission Evaluations of Human Pharmaceuticals;Évaluation des présentations de médicaments pharmaceutiques à usage humain;8613;Permission to market (product approval) health products: service delivery standards to reach first decision outlined as time in average calendar days (varies by submission).;Permission de commercialisation (approbation de produit) produits pharmaceutiques : la norme de prestation de service pour rendre une première décision est une durée moyenne en jours civils (variable en fonction de la soumission).;TML;;OTH;Channel: Other was selected because this service is a consolidation of different types of applications for different products and in some cases, implies different channels between products, and/or more than one for each product.;Mode de prestation: Autre fut sélectionné puisque ce service est une consolidation de différents type de soumissions pour différent produits et de ce fait, implique dans certains cas, différent modes de prestation entre les produits, et/ou plus d'un pour chacun des produits.;;0.9;2126.0;2178.0;0.9761;"1. Total Volume is the number of decisions completed. 
2. Submissions include NDS, NDS-CV, SNDS, ANDS, SANDS, DINA but do not include Administrative submissions.";"1. Le volume totale est le nombre de décisions traitées.
2. Les soumissions comprennent PDN, PDN-CV, SPDN, PADN, SPADN, DDIN mais ne comprennent pas les soumissions administratives.";Y;https://www.canada.ca/en/health-canada/corporate/about-health-canada/legislation-guidelines/acts-regulations/service-standards-high-volume-regulatory-authorizations/2022-2023/submission-evaluations-pharmaceuticals-biologic-products-food-drug.html;https://www.canada.ca/fr/sante-canada/organisation/a-propos-sante-canada/legislation-lignes-directrices/lois-reglements/normes-service-autorisations-reglementaires-demande-elevee/2022-2023/evaluation-presentations-medicaments-produits-pharmaceutiques-biologiques-termes-aliments-drogue.html;Not applicable;Not applicable;hc-sc;127.0;Health Canada;Santé Canada;2023-2024_127_3629
11308;2023-2024;3630;Drug Submission Evaluations of Biologic Products;Évaluation des présentations de médicaments biologiques;8614;Permission to market (product approval) health products: service delivery standards to reach first decision outlined as time in average calendar days (varies by submission).;Permission de commercialisation (approbation de produit) produits pharmaceutiques : la norme de prestation de service pour rendre une première décision est une durée moyenne en jours civils (variable en fonction de la soumission).;TML;;OTH;Channel: Other was selected because this service is a consolidation of different types of applications for different products and in some cases, implies different channels between products, and/or more than one for each product.;Mode de prestation: Autre fut sélectionné puisque ce service est une consolidation de différents type de soumissions pour différent produits et de ce fait, implique dans certains cas, différent modes de prestation entre les produits, et/ou plus d'un pour chacun des produits.;;0.9;332.0;336.0;0.9881;"1. Total Volume is the number of decisions completed.
2. Submissions include NDS, NDS-CV, SNDS, SNDS-C, DINB but do not include administrative submissions.";"1. Le volume totale est le nombre de décisions traitées.
2. Les soumissions comprennent PDN, PDN-CV, SPDN, SPDN-C, DDIN-PB mais ne comprennent pas les soumissions administratives.";Y;https://www.canada.ca/en/health-canada/corporate/about-health-canada/legislation-guidelines/acts-regulations/service-standards-high-volume-regulatory-authorizations/2022-2023/submission-evaluations-pharmaceuticals-biologic-products-food-drug.html;https://www.canada.ca/fr/sante-canada/organisation/a-propos-sante-canada/legislation-lignes-directrices/lois-reglements/normes-service-autorisations-reglementaires-demande-elevee/2022-2023/evaluation-presentations-medicaments-produits-pharmaceutiques-biologiques-termes-aliments-drogue.html;Not applicable;Not applicable;hc-sc;127.0;Health Canada;Santé Canada;2023-2024_127_3630
11309;2023-2024;3631;Drug Submission Evaluations of Veterinary Pharmaceuticals and Veterinary Health Products;Évaluation des présentations de médicaments vétérinaires pharmaceutiques et des produits de santé animale;8615;Permission to market (product approval) health products: service delivery standards to reach first decision outlined as time in average calendar days (varies by submission).;Permission de commercialisation (approbation de produit) produits pharmaceutiques : la norme de prestation de service pour rendre une première décision est une durée moyenne en jours civils (variable en fonction de la soumission).;TML;;OTH;Channel: Other was selected because this service is a consolidation of different types of applications for different products and in some cases, implies different channels between products, and/or more than one for each product.;Mode de prestation: Autre fut sélectionné puisque ce service est une consolidation de différents type de soumissions pour différent produits et de ce fait, implique dans certains cas, différent modes de prestation entre les produits, et/ou plus d'un pour chacun des produits.;;0.9;1350.0;1350.0;1.0;Total Volume is the number of decisions completed.;Le volume totale est le nombre de décisions traitées.;Y;https://www.canada.ca/en/health-canada/corporate/about-health-canada/legislation-guidelines/acts-regulations/service-standards-high-volume-regulatory-authorizations/service-standards-veterinary-drug-submission-evaluations-under-food-drug-regulations.html;https://www.canada.ca/fr/sante-canada/organisation/a-propos-sante-canada/legislation-lignes-directrices/lois-reglements/normes-service-autorisations-reglementaires-demande-elevee/norme-service-evaluation-presentations-medicaments-veterinaires-vertu-reglement-aliments-drogues.html;Not applicable;Not applicable;hc-sc;127.0;Health Canada;Santé Canada;2023-2024_127_3631
11310;2023-2024;3632;Medical Device Submission Evaluations;Évaluation des demandes d'instruments médicaux;8616;Permission to market (product approval) health products: service delivery standards to reach first decision outlined as time in average calendar days (varies by submission).;Permission de commercialisation (approbation de produit) produits de santé : la norme de prestation de service pour rendre une première décision est une durée moyenne en jours civils (variable en fonction de la soumission).;TML;;OTH;Channel: Other was selected because this service is a consolidation of different types of applications for different products and in some cases, implies different channels between products, and/or more than one for each product.;Mode de prestation: Autre fut sélectionné puisque ce service est une consolidation de différents type de soumissions pour différent produits et de ce fait, implique dans certains cas, différent modes de prestation entre les produits, et/ou plus d'un pour chacun des produits.;;1.0;4145.0;4188.0;0.9897;Total Volume is the number of decisions completed.;Le volume totale est le nombre de décisions traitées.;N;https://www.canada.ca/en/health-canada/corporate/about-health-canada/legislation-guidelines/acts-regulations/service-standards-high-volume-regulatory-authorizations/2022-2023/medical-device-submission-evaluations.html;https://www.canada.ca/fr/sante-canada/organisation/a-propos-sante-canada/legislation-lignes-directrices/lois-reglements/normes-service-autorisations-reglementaires-demande-elevee/2022-2023/evaluation-homologation-instruments-medicaux-termes.html;Not applicable;Not applicable;hc-sc;127.0;Health Canada;Santé Canada;2023-2024_127_3632
11311;2023-2024;3635;Natural Health Product Application Reviews;Évaluation des applications de produits de santé naturels;8617;Permission to market (product approval) natural health products: issuance of a decision to the applicant within a specified # of calendar days of receiving an application (varies by submission type).;Permission de commercialisation (approbation de produit) produits de santé naturels : communication d'une décision au demandeur dans le nombre de jours civils précisé suivant la réception de la demande (variable en fonction du type de soumission).;TML;;OTH;Service is delivered via a mix of channels. Given the same criteria (i.e. product/submission type), a standard is not impacted by the delivery channel and therefore remains the same.;Le service est offert de différentes façons. Étant donné que le critère est le même (c.-à-d. produit ou voie de présentation), le mode de prestation n'a aucune incidence sur la norme et celle-ci reste donc la même.;;0.9;6771.0;7961.0;0.8505;Total Volume is the number of decisions completed.;Le volume totale est le nombre de décisions traitées.;N;https://www.canada.ca/en/health-canada/corporate/about-health-canada/legislation-guidelines/acts-regulations/service-standards-high-volume-regulatory-authorizations/2022-2023/natural-health-product-application-reviews.html;https://www.canada.ca/fr/sante-canada/organisation/a-propos-sante-canada/legislation-lignes-directrices/lois-reglements/normes-service-autorisations-reglementaires-demande-elevee/2022-2023/evaluation-demandes-relatives-produits-sante-naturels-termes.html;Not applicable;Not applicable;hc-sc;127.0;Health Canada;Santé Canada;2023-2024_127_3635
11312;2023-2024;3636;Natural Health Product Site Licence Application Reviews;Évaluation des applications de licence des sites de produits de santé naturels;8618;Permission to operate (site license) natural health products: issuance of a licensing decision within the specified service delivery standards # of days (varies by submission type).;Permission d'exploitation (licence d'établissement) produits de santé naturels: communication d'une décision de licence suivant la norme de service en nombre de jours précisé (variable en fonction du type de soumission).;TML;;OTH;Service is delivered via a mix of channels. Given the same criteria (i.e. product/submission type), a standard is not impacted by the delivery channel and therefore remains the same.;Le service est offert de différentes façons. Étant donné que le critère est le même (c.-à-d. produit ou voie de présentation), le mode de prestation n'a aucune incidence sur la norme et celle-ci reste donc la même.;;0.9;112.0;199.0;0.5628;Total Volume is the number of decisions completed.;Le volume totale est le nombre de décisions traitées.;N;https://www.canada.ca/en/health-canada/corporate/about-health-canada/legislation-guidelines/acts-regulations/service-standards-high-volume-regulatory-authorizations/2022-2023/site-licence-application-review-natural-health-products.html;https://www.canada.ca/fr/sante-canada/organisation/a-propos-sante-canada/legislation-lignes-directrices/lois-reglements/normes-service-autorisations-reglementaires-demande-elevee/2022-2023/examen-demandes-licences-site-vertu-produits-naturels.html;Not applicable;Not applicable;hc-sc;127.0;Health Canada;Santé Canada;2023-2024_127_3636
11393;2023-2024;2571;Policy Dialogue Program;Programme de dialogue sur les politiques;8393;Time for processing grants: 5 working days (WD);Délai pour le traitement des subventions : 5 jours ouvrables (JO);TML;;EML;;;;0.95;8.0;8.0;1.0;;;Y;;;;;iaac-aeic;63.0;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;2023-2024_63_2571
11395;2023-2024;2572;Projects subject to federal assessment under the IAA;Projets assujettis à l'évaluation fédérale en vertu de la Loi sur l'évaluation d’impact (LEI);8394;The impact statement phase must be completed within three years from the date of the notice of commencement. Upon request from the Proponent, IAAC may extend the timeline.;La phase de l'étude d'impact doit être achevée dans les trois ans suivant la date de publication de l'avis de début de l’évaluation d’impact. À la demande du promoteur, l'AEIC peut prolonger ce délai.;OTH;;OTH;Services are provided by IAAC for the conduct of the IA in accordance with the legislated timelines (or environmental assessments of projects still subject to CEAA 2012). There is no specific service standard type due to the uniqueness of each project, and the channel for delivery of the service can occur by multiple means, including submissions by participants by mail, fax, telephone, in-person email, or online. Comments received are considered by IAAC in the context of the overall assessment of effects rather than responded to directly.;Les services sont fournis par l’AEIC pour la tenue d’une évaluation d’impact conformément aux délais prescrits (ou une évaluation environnementale pour les projets encore assujettis à la LCEE 2012). Il n’y a pas de norme de service type en raison du caractère unique de chaque projet, et le canal de prestation du service peut prendre plusieurs formes, y compris les mémoires des participants transmis par courrier, télécopieur, téléphone, courriel ou en ligne ou déposés en personne. L’AEIC prend en compte les commentaires reçus dans le contexte de l’évaluation globale des effets, plutôt que d’y répondre directement.;;1.0;2.0;2.0;1.0;Two projects started the impact statement phase and were terminated during 2023-2024.;Deux projets ont entamé la phase de l'étude d'impact et ont pris fin en 2023-2024.;Y;https://www.canada.ca/en/impact-assessment-agency/services/policy-guidance/impact-assessment-process-overview/phase2.html;https://www.canada.ca/fr/agence-evaluation-impact/services/politiques-et-orientation/presenter-demande-evaluation-regionale-strategique-loi-ei.html;https://iaac-aeic.gc.ca/050/evaluations?culture=en-CA;https://iaac-aeic.gc.ca/050/evaluations?culture=fr-CA;iaac-aeic;63.0;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;2023-2024_63_2572
11396;2023-2024;2572;Projects subject to federal assessment under the IAA;Projets assujettis à l'évaluation fédérale en vertu de la Loi sur l'évaluation d’impact (LEI);8395;An impact assessment by IAAC must be completed within 300 days and an impact assessment by a review panel must be completed within 300-600 days.;Une évaluation d’impact effectuée par l’AEIC doit être terminée dans un de délai de 300 jours et une évaluation d’impact effectuée par une commission d’examen doit être terminée dans un délai de 300 à 600 jours.;OTH;;OTH;Services are provided by IAAC for the conduct of the IA in accordance with the legislated timelines (or environmental assessments of projects still subject to CEAA 2012). There is no specific service standard type due to the uniqueness of each project, and the channel for delivery of the service can occur by multiple means, including submissions by participants by mail, fax, telephone, in-person email, or online. Comments received are considered by IAAC in the context of the overall assessment of effects rather than responded to directly.;Les services sont fournis par l’AEIC pour la tenue d’une évaluation d’impact conformément aux délais prescrits (ou une évaluation environnementale pour les projets encore assujettis à la LCEE 2012). Il n’y a pas de norme de service type en raison du caractère unique de chaque projet, et le canal de prestation du service peut prendre plusieurs formes, y compris les mémoires des participants transmis par courrier, télécopieur, téléphone, courriel ou en ligne ou déposés en personne. L’AEIC prend en compte les commentaires reçus dans le contexte de l’évaluation globale des effets, plutôt que d’y répondre directement.;;1.0;0.0;0.0;;No projects subject to the Impact Assessment Act completed the impact assessment phase in 2023-2024.;Aucun projet assujetti à la Loi sur l'évaluation d’impact n'a achevé la phase de d’évaluation d’impact en 2023-2024.;;https://www.canada.ca/en/impact-assessment-agency/services/policy-guidance/requesting-regional-strategic-assessment-iaa.html;https://www.canada.ca/fr/agence-evaluation-impact/services/politiques-et-orientation/presenter-demande-evaluation-regionale-strategique-loi-ei.html;;;iaac-aeic;63.0;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;2023-2024_63_2572
11397;2023-2024;2572;Projects subject to federal assessment under the IAA;Projets assujettis à l'évaluation fédérale en vertu de la Loi sur l'évaluation d’impact (LEI);8396;The decision-making phase must be completed in 30 days or 90 days, depending on whether the public interest determination is made by the Minister of Environment and Climate Change, or Governor in council. When the Minister makes the public interest determination, the Decision Statement must be issue;Prise de décision doit être achevée dans un délai de 30 jours ou de 90 jours, selon que la détermination d'intérêt public est prise par le ministre de l'environnement et du changement climatique ou par le gouverneur en conseil. Lorsque le ministre effectue la détermination de l'intérêt public, la déclaration de décision doit être publiée au plus tard 30 jours après la publication du rapport d'éval;OTH;;OTH;Services are provided by IAAC for the conduct of the IA in accordance with the legislated timelines (or environmental assessments of projects still subject to CEAA 2012). There is no specific service standard type due to the uniqueness of each project, and the channel for delivery of the service can occur by multiple means, including submissions by participants by mail, fax, telephone, in-person email, or online. Comments received are considered by IAAC in the context of the overall assessment of effects rather than responded to directly.;Les services sont fournis par l’AEIC pour la tenue d’une évaluation d’impact conformément aux délais prescrits (ou une évaluation environnementale pour les projets encore assujettis à la LCEE 2012). Il n’y a pas de norme de service type en raison du caractère unique de chaque projet, et le canal de prestation du service peut prendre plusieurs formes, y compris les mémoires des participants transmis par courrier, télécopieur, téléphone, courriel ou en ligne ou déposés en personne. L’AEIC prend en compte les commentaires reçus dans le contexte de l’évaluation globale des effets, plutôt que d’y répondre directement.;;1.0;0.0;0.0;;No projects subject to the Impact Assessment Act completed the decision-making phase in 2023-2024.;Aucun projet assujetti à la Loi sur l'évaluation d’impact n'a achevé la phase de la prise de décision en 2023-2024.;;https://www.canada.ca/en/impact-assessment-agency/services/policy-guidance/impact-assessment-process-overview/phase4.html;https://www.canada.ca/fr/agence-evaluation-impact/services/politiques-et-orientation/apercu-du-processus-devaluation-dimpact/phase2.html;;;iaac-aeic;63.0;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;2023-2024_63_2572
11401;2023-2024;2573;Research Program;Porgramme de recherche;8397;Time to process grants: 5 working days (WD);Délai pour le traitement des subventions : 5 jours ouvrables (JO);TML;;EML;;;;0.95;9.0;9.0;1.0;;;Y;;;;;iaac-aeic;63.0;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;2023-2024_63_2573
